timestamp,waiting_time,queue_length,travel_time,predictions,actual_flows,model_type
2025-04-12 03:27:33,13.153846153846153,8,0,0,13.0,fixed
2025-04-12 03:27:33,15.0,9,0,0,12.0,fixed
2025-04-12 03:27:33,15.75,9,0,0,12.0,fixed
2025-04-12 03:27:33,16.5,9,0,0,12.0,fixed
2025-04-12 03:27:33,15.416666666666666,8,0,0,12.0,fixed
2025-04-12 03:27:33,15.666666666666666,7,0,0,12.0,fixed
2025-04-12 03:27:33,16.25,7,0,0,12.0,fixed
2025-04-12 03:27:33,16.833333333333332,7,0,0,12.0,fixed
2025-04-12 03:27:33,16.076923076923077,8,0,0,13.0,fixed
2025-04-12 03:27:33,15.428571428571429,8,0,0,14.0,fixed
2025-04-12 03:27:33,15.928571428571429,7,0,0,14.0,fixed
2025-04-12 03:27:33,16.428571428571427,7,0,0,14.0,fixed
2025-04-12 03:27:33,16.928571428571427,7,0,0,14.0,fixed
2025-04-12 03:27:33,17.428571428571427,7,0,0,14.0,fixed
2025-04-12 03:27:33,17.928571428571427,7,0,0,14.0,fixed
2025-04-12 03:27:33,19.846153846153847,7,0,0,13.0,fixed
2025-04-12 03:27:33,18.928571428571427,8,0,0,14.0,fixed
2025-04-12 03:27:33,19.428571428571427,7,0,0,14.0,fixed
2025-04-12 03:27:33,18.6,8,0,0,15.0,fixed
2025-04-12 03:27:33,17.875,8,0,0,16.0,fixed
2025-04-12 03:27:33,18.3125,7,0,0,16.0,fixed
2025-04-12 03:27:33,18.75,7,0,0,16.0,fixed
2025-04-12 03:27:33,19.1875,7,0,0,16.0,fixed
2025-04-12 03:27:33,17.0,6,0,0,16.0,fixed
2025-04-12 03:27:33,17.375,6,0,0,16.0,fixed
2025-04-12 03:27:33,19.0,7,0,0,15.0,fixed
2025-04-12 03:27:33,19.533333333333335,8,0,0,15.0,fixed
2025-04-12 03:27:33,20.066666666666666,8,0,0,15.0,fixed
2025-04-12 03:27:33,20.6,9,0,0,15.0,fixed
2025-04-12 03:27:33,21.133333333333333,8,0,0,15.0,fixed
2025-04-12 03:27:33,21.733333333333334,9,0,0,15.0,fixed
2025-04-12 03:27:33,22.333333333333332,9,0,0,15.0,fixed
2025-04-12 03:27:33,21.5,10,0,0,16.0,fixed
2025-04-12 03:27:33,22.0625,10,0,0,16.0,fixed
2025-04-12 03:27:33,22.625,9,0,0,16.0,fixed
2025-04-12 03:27:33,23.1875,9,0,0,16.0,fixed
2025-04-12 03:27:33,23.75,9,0,0,16.0,fixed
2025-04-12 03:27:33,24.3125,9,0,0,16.0,fixed
2025-04-12 03:27:33,24.875,9,0,0,16.0,fixed
2025-04-12 03:27:33,18.705882352941178,9,0,0,17.0,fixed
2025-04-12 03:27:33,15.588235294117647,7,0,0,17.0,fixed
2025-04-12 03:27:33,15.294117647058824,6,0,0,17.0,fixed
2025-04-12 03:27:33,14.777777777777779,7,0,0,18.0,fixed
2025-04-12 03:27:33,15.11111111111111,6,0,0,18.0,fixed
2025-04-12 03:27:33,15.444444444444445,6,0,0,18.0,fixed
2025-04-12 03:27:33,14.947368421052632,7,0,0,19.0,fixed
2025-04-12 03:27:33,15.263157894736842,6,0,0,19.0,fixed
2025-04-12 03:27:33,16.444444444444443,6,0,0,18.0,fixed
2025-04-12 03:27:33,17.764705882352942,6,0,0,17.0,fixed
2025-04-12 03:27:33,18.11764705882353,6,0,0,17.0,fixed
2025-04-12 03:27:33,18.470588235294116,6,0,0,17.0,fixed
2025-04-12 03:27:33,18.823529411764707,6,0,0,17.0,fixed
2025-04-12 03:27:33,18.11111111111111,7,0,0,18.0,fixed
2025-04-12 03:27:33,19.529411764705884,6,0,0,17.0,fixed
2025-04-12 03:27:34,18.833333333333332,8,0,0,18.0,fixed
2025-04-12 03:27:34,15.705882352941176,5,0,0,17.0,fixed
2025-04-12 03:27:34,11.705882352941176,5,0,0,17.0,fixed
2025-04-12 03:27:34,7.823529411764706,4,0,0,17.0,fixed
2025-04-12 03:27:34,4.117647058823529,3,0,0,17.0,fixed
2025-04-12 03:27:34,2.4375,2,0,0,16.0,fixed
2025-04-12 03:27:34,2.7333333333333334,2,0,0,15.0,fixed
2025-04-12 03:27:34,2.8666666666666667,2,0,0,15.0,fixed
2025-04-12 03:27:34,3.2142857142857144,2,0,0,14.0,fixed
2025-04-12 03:27:34,3.6153846153846154,2,0,0,13.0,fixed
2025-04-12 03:27:34,3.769230769230769,2,0,0,13.0,fixed
2025-04-12 03:27:34,3.923076923076923,2,0,0,13.0,fixed
2025-04-12 03:27:34,4.153846153846154,3,0,0,13.0,fixed
2025-04-12 03:27:34,4.384615384615385,3,0,0,13.0,fixed
2025-04-12 03:27:34,5.0,3,0,0,12.0,fixed
2025-04-12 03:27:34,6.3,3,0,0,10.0,fixed
2025-04-12 03:27:34,6.0,4,0,0,11.0,fixed
2025-04-12 03:27:34,6.9,3,0,0,10.0,fixed
2025-04-12 03:27:34,7.2,3,0,0,10.0,fixed
2025-04-12 03:27:34,7.5,3,0,0,10.0,fixed
2025-04-12 03:27:34,7.8,3,0,0,10.0,fixed
2025-04-12 03:27:34,7.363636363636363,4,0,0,11.0,fixed
2025-04-12 03:27:34,7.636363636363637,3,0,0,11.0,fixed
2025-04-12 03:27:34,7.25,4,0,0,12.0,fixed
2025-04-12 03:27:34,7.5,4,0,0,12.0,fixed
2025-04-12 03:27:34,8.454545454545455,3,0,0,11.0,fixed
2025-04-12 03:27:34,8.727272727272727,3,0,0,11.0,fixed
2025-04-12 03:27:34,9.9,3,0,0,10.0,fixed
2025-04-12 03:27:34,10.2,4,0,0,10.0,fixed
2025-04-12 03:27:34,10.5,3,0,0,10.0,fixed
2025-04-12 03:27:34,10.9,4,0,0,10.0,fixed
2025-04-12 03:27:34,11.3,4,0,0,10.0,fixed
2025-04-12 03:27:34,11.7,4,0,0,10.0,fixed
2025-04-12 03:27:34,12.1,4,0,0,10.0,fixed
2025-04-12 03:27:34,12.5,4,0,0,10.0,fixed
2025-04-12 03:27:34,12.9,4,0,0,10.0,fixed
2025-04-12 03:27:34,13.3,4,0,0,10.0,fixed
2025-04-12 03:27:34,13.7,5,0,0,10.0,fixed
2025-04-12 03:27:34,14.1,4,0,0,10.0,fixed
2025-04-12 03:27:34,7.6,3,0,0,10.0,fixed
2025-04-12 03:27:34,4.545454545454546,3,0,0,11.0,fixed
2025-04-12 03:27:34,4.0,1,0,0,10.0,fixed
2025-04-12 03:27:34,4.1,1,0,0,10.0,fixed
2025-04-12 03:27:34,4.2,1,0,0,10.0,fixed
2025-04-12 03:27:34,4.777777777777778,1,0,0,9.0,fixed
2025-04-12 03:27:34,4.888888888888889,1,0,0,9.0,fixed
2025-04-12 03:27:34,5.0,1,0,0,9.0,fixed
2025-04-12 03:27:34,5.111111111111111,1,0,0,9.0,fixed
2025-04-12 03:27:34,5.222222222222222,1,0,0,9.0,fixed
2025-04-12 03:27:34,5.333333333333333,1,0,0,9.0,fixed
2025-04-12 03:27:34,5.444444444444445,1,0,0,9.0,fixed
2025-04-12 03:27:34,5.666666666666667,2,0,0,9.0,fixed
2025-04-12 03:27:34,5.888888888888889,2,0,0,9.0,fixed
2025-04-12 03:27:34,6.222222222222222,3,0,0,9.0,fixed
2025-04-12 03:27:34,6.555555555555555,3,0,0,9.0,fixed
2025-04-12 03:27:34,6.888888888888889,3,0,0,9.0,fixed
2025-04-12 03:27:34,5.9,3,0,0,10.0,fixed
2025-04-12 03:27:34,6.777777777777778,2,0,0,9.0,fixed
2025-04-12 03:27:34,7.0,2,0,0,9.0,fixed
2025-04-12 03:27:34,7.333333333333333,4,0,0,9.0,fixed
2025-04-12 03:27:34,6.9,4,0,0,10.0,fixed
2025-04-12 03:27:34,7.2,3,0,0,10.0,fixed
2025-04-12 03:27:34,7.5,3,0,0,10.0,fixed
2025-04-12 03:27:34,8.666666666666666,3,0,0,9.0,fixed
2025-04-12 03:27:34,10.125,3,0,0,8.0,fixed
2025-04-12 03:27:34,10.5,3,0,0,8.0,fixed
2025-04-12 03:27:34,10.875,3,0,0,8.0,fixed
2025-04-12 03:27:34,12.857142857142858,3,0,0,7.0,fixed
2025-04-12 03:27:34,15.5,3,0,0,6.0,fixed
2025-04-12 03:27:34,13.714285714285714,4,0,0,7.0,fixed
2025-04-12 03:27:34,12.375,4,0,0,8.0,fixed
2025-04-12 03:27:34,12.75,3,0,0,8.0,fixed
2025-04-12 03:27:34,11.666666666666666,4,0,0,9.0,fixed
2025-04-12 03:27:34,12.0,3,0,0,9.0,fixed
2025-04-12 03:27:34,12.333333333333334,3,0,0,9.0,fixed
2025-04-12 03:27:34,14.25,3,0,0,8.0,fixed
2025-04-12 03:27:34,13.0,4,0,0,9.0,fixed
2025-04-12 03:27:34,9.6,4,0,0,10.0,fixed
2025-04-12 03:27:34,9.0,4,0,0,11.0,fixed
2025-04-12 03:27:34,10.2,3,0,0,10.0,fixed
2025-04-12 03:27:34,10.5,3,0,0,10.0,fixed
2025-04-12 03:27:34,10.8,3,0,0,10.0,fixed
2025-04-12 03:27:34,11.1,3,0,0,10.0,fixed
2025-04-12 03:27:34,11.4,3,0,0,10.0,fixed
2025-04-12 03:27:34,11.7,3,0,0,10.0,fixed
2025-04-12 03:27:34,10.909090909090908,4,0,0,11.0,fixed
2025-04-12 03:27:34,10.25,4,0,0,12.0,fixed
2025-04-12 03:27:34,10.5,3,0,0,12.0,fixed
2025-04-12 03:27:34,9.923076923076923,4,0,0,13.0,fixed
2025-04-12 03:27:34,10.153846153846153,3,0,0,13.0,fixed
2025-04-12 03:27:34,11.25,3,0,0,12.0,fixed
2025-04-12 03:27:34,10.615384615384615,4,0,0,13.0,fixed
2025-04-12 03:27:34,10.846153846153847,3,0,0,13.0,fixed
2025-04-12 03:27:34,4.0,2,0,0,13.0,fixed
2025-04-12 03:27:34,4.230769230769231,3,0,0,13.0,fixed
2025-04-12 03:27:34,4.461538461538462,3,0,0,13.0,fixed
2025-04-12 03:27:34,4.6923076923076925,3,0,0,13.0,fixed
2025-04-12 03:27:34,4.923076923076923,3,0,0,13.0,fixed
2025-04-12 03:27:34,5.153846153846154,3,0,0,13.0,fixed
2025-04-12 03:27:34,5.384615384615385,3,0,0,13.0,fixed
2025-04-12 03:27:34,5.214285714285714,4,0,0,14.0,fixed
2025-04-12 03:27:34,5.133333333333334,5,0,0,15.0,fixed
2025-04-12 03:27:34,5.0625,5,0,0,16.0,fixed
2025-04-12 03:27:34,5.3125,4,0,0,16.0,fixed
2025-04-12 03:27:34,5.235294117647059,5,0,0,17.0,fixed
2025-04-12 03:27:34,5.470588235294118,4,0,0,17.0,fixed
2025-04-12 03:27:34,5.705882352941177,4,0,0,17.0,fixed
2025-04-12 03:27:34,5.9411764705882355,4,0,0,17.0,fixed
2025-04-12 03:27:34,6.176470588235294,4,0,0,17.0,fixed
2025-04-12 03:27:34,5.470588235294118,3,0,0,17.0,fixed
2025-04-12 03:27:34,4.777777777777778,3,0,0,18.0,fixed
2025-04-12 03:27:34,4.684210526315789,4,0,0,19.0,fixed
2025-04-12 03:27:34,4.842105263157895,3,0,0,19.0,fixed
2025-04-12 03:27:34,5.052631578947368,4,0,0,19.0,fixed
2025-04-12 03:27:34,5.0,5,0,0,20.0,fixed
2025-04-12 03:27:34,5.2,4,0,0,20.0,fixed
2025-04-12 03:27:34,5.4,4,0,0,20.0,fixed
2025-04-12 03:27:34,5.6,4,0,0,20.0,fixed
2025-04-12 03:27:34,5.85,5,0,0,20.0,fixed
2025-04-12 03:27:34,6.1,5,0,0,20.0,fixed
2025-04-12 03:27:34,6.35,5,0,0,20.0,fixed
2025-04-12 03:27:34,7.0,6,0,0,19.0,fixed
2025-04-12 03:27:34,7.315789473684211,6,0,0,19.0,fixed
2025-04-12 03:27:34,7.25,7,0,0,20.0,fixed
2025-04-12 03:27:34,7.55,6,0,0,20.0,fixed
2025-04-12 03:27:34,7.476190476190476,7,0,0,21.0,fixed
2025-04-12 03:27:34,7.809523809523809,7,0,0,21.0,fixed
2025-04-12 03:27:34,8.55,7,0,0,20.0,fixed
2025-04-12 03:27:34,8.9,7,0,0,20.0,fixed
2025-04-12 03:27:34,8.80952380952381,8,0,0,21.0,fixed
2025-04-12 03:27:34,9.19047619047619,8,0,0,21.0,fixed
2025-04-12 03:27:34,10.578947368421053,8,0,0,19.0,fixed
2025-04-12 03:27:34,11.052631578947368,9,0,0,19.0,fixed
2025-04-12 03:27:34,11.526315789473685,9,0,0,19.0,fixed
